Idioma_1,Idioma_2,Estadistico_Wilcoxon,p_value,p_value_ajustado,Significativo_5pct
eng_Latn,spa_Latn,134.0,1.8245394268555775e-164,1.8245394268555776e-163,True
eng_Latn,por_Latn,117.5,7.466410671274039e-164,7.466410671274038e-163,True
eng_Latn,deu_Latn,32.5,2.0008981315252997e-164,2.0008981315252997e-163,True
eng_Latn,zho_Hans,15.0,6.475191720243737e-164,6.475191720243737e-163,True
spa_Latn,por_Latn,134603.0,6.1521531253828e-21,6.1521531253828e-20,True
spa_Latn,deu_Latn,198859.0,0.015680912075107047,0.15680912075107048,False
spa_Latn,zho_Hans,44193.5,4.066020778993076e-106,4.066020778993076e-105,True
por_Latn,deu_Latn,123521.0,9.612971800676232e-29,9.612971800676232e-28,True
por_Latn,zho_Hans,23712.5,1.5847626856006517e-129,1.5847626856006516e-128,True
deu_Latn,zho_Hans,62145.0,3.136032420357184e-85,3.136032420357184e-84,True
